id,name,code,media_type_id/id,source_id/id,system
application_dcd,application/DCD,application_dcd,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dec_dx,application/dec-dx,application_dec_dx,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dialog_info_xml,application/dialog-info+xml,application_dialog_info_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dicom,application/dicom,application_dicom,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dii,application/DII,application_dii,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dit,application/DIT,application_dit,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dns,application/dns,application_dns,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dskpp_xml,application/dskpp+xml,application_dskpp_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dssc_der,application/dssc+der,application_dssc_der,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dssc_xml,application/dssc+xml,application_dssc_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_dvcs,application/dvcs,application_dvcs,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ecmascript,application/ecmascript,application_ecmascript,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_edi_consent,application/EDI-consent,application_edi_consent,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_edifact,application/EDIFACT,application_edifact,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_edi_x12,application/EDI-X12,application_edi_x12,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_emma_xml,application/emma+xml,application_emma_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_emotionml_xml,application/emotionml+xml,application_emotionml_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_encaprtp,application/encaprtp,application_encaprtp,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_epp_xml,application/epp+xml,application_epp_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_epub_zip,application/epub+zip,application_epub_zip,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_eshop,application/eshop,application_eshop,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_example,application/example,application_example,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_exi,application/exi,application_exi,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_fastinfoset,application/fastinfoset,application_fastinfoset,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_fastsoap,application/fastsoap,application_fastsoap,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_fdt_xml,application/fdt+xml,application_fdt_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_fits,application/fits,application_fits,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_font_sfnt,application/font-sfnt,application_font_sfnt,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_font_tdpfr,application/font-tdpfr,application_font_tdpfr,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_font_woff,application/font-woff,application_font_woff,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_framework_attributes_xml,application/framework-attributes+xml,application_framework_attributes_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_gzip,application/gzip,application_gzip,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_h224,application/H224,application_h224,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_held_xml,application/held+xml,application_held_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_http,application/http,application_http,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_hyperstudio,application/hyperstudio,application_hyperstudio,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ibe_key_request_xml,application/ibe-key-request+xml,application_ibe_key_request_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ibe_pkg_reply_xml,application/ibe-pkg-reply+xml,application_ibe_pkg_reply_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_ibe_pp_data,application/ibe-pp-data,application_ibe_pp_data,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_iges,application/iges,application_iges,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_im_iscomposing_xml,application/im-iscomposing+xml,application_im_iscomposing_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_index,application/index,application_index,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_index_cmd,application/index.cmd,application_index_cmd,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_index_obj,application/index.obj,application_index_obj,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_index_response,application/index.response,application_index_response,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_index_vnd,application/index.vnd,application_index_vnd,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
application_inkml_xml,application/inkml+xml,application_inkml_xml,mime_media_type_application,base.iana,https://www.iana.org/assignments/media-types/media-types.xhtml
