id,code,name,definition,level,contains_id/id,value_set_ids/id,country_ids/id,source_id/id,system
race_73,1755-8,"Cook Inlet",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_74,1756-6,"Copper Center",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_75,1757-4,"Copper River",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_76,1758-2,"Dot Lake",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_77,1759-0,"Doyon",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_78,1760-8,"Eagle",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_79,1761-6,"Eklutna",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_80,1762-4,"Evansville",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_81,1763-2,"Fort Yukon",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_82,1764-0,"Gakona",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_83,1765-7,"Galena",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_84,1766-5,"Grayling",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_85,1767-3,"Gulkana",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_86,1768-1,"Healy Lake",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_87,1769-9,"Holy Cross",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_88,1770-7,"Hughes",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_89,1771-5,"Huslia",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_90,1772-3,"Iliamna",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_91,1773-1,"Kaltag",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_92,1774-9,"Kluti Kaah",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_93,1775-6,"Knik",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_94,1776-4,"Koyukuk",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_95,1777-2,"Lake Minchumina",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_96,1778-0,"Lime",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_97,1779-8,"Mcgrath",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_98,1780-6,"Manley Hot Springs",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_99,1781-4,"Mentasta Lake",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_100,1782-2,"Minto",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_101,1783-0,"Nenana",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_102,1784-8,"Nikolai",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_103,1785-5,"Ninilchik",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_104,1786-3,"Nondalton",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_105,1787-1,"Northway",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_106,1788-9,"Nulato",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_107,1789-7,"Pedro Bay",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_108,1790-5,"Rampart",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_109,1791-3,"Ruby",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_110,1792-1,"Salamatof",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_111,1793-9,"Seldovia",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_112,1794-7,"Slana",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_113,1795-4,"Shageluk",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_114,1796-2,"Stevens",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_115,1797-0,"Stony River",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_116,1798-8,"Takotna",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_117,1799-6,"Tanacross",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_118,1800-2,"Tanaina",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_119,1801-0,"Tanana",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_120,1802-8,"Tanana Chiefs",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_121,1803-6,"Tazlina",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_122,1804-4,"Telida",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_123,1805-1,"Tetlin",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_124,1806-9,"Tok",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_125,1807-7,"Tyonek",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_126,1808-5,"Venetie",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_127,1809-3,"Wiseman",,,race_58,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_128,1078-5,"Cayuse",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_129,1080-1,"Chehalis",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_130,1082-7,"Chemakuan",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_131,1083-5,"Hoh",,,race_130,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_132,1084-3,"Quileute",,,race_130,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_133,1086-8,"Chemehuevi",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_134,1088-4,"Cherokee",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_135,1089-2,"Cherokee Alabama",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_136,1090-0,"Cherokees of Northeast Alabama",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_137,1091-8,"Cherokees of Southeast Alabama",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_138,1092-6,"Eastern Cherokee",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_139,1093-4,"Echota Cherokee",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_140,1094-2,"Etowah Cherokee",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_141,1095-9,"Northern Cherokee",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_142,1096-7,"Tuscola",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_143,1097-5,"United Keetowah Band of Cherokee",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_144,1098-3,"Western Cherokee",,,race_134,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_145,1100-7,"Cherokee Shawnee",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_146,1102-3,"Cheyenne",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_147,1103-1,"Northern Cheyenne",,,race_146,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_148,1104-9,"Southern Cheyenne",,,race_146,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_149,1106-4,"Cheyenne-Arapaho",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_150,1108-0,"Chickahominy",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_151,1109-8,"Eastern Chickahominy",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_152,1110-6,"Western Chickahominy",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_153,1112-2,"Chickasaw",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_154,1114-8,"Chinook",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_155,1115-5,"Clatsop",,,race_154,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_156,1116-3,"Columbia River Chinook",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_157,1117-1,"Kathlamet",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_158,1118-9,"Upper Chinook",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_159,1119-7,"Wakiakum Chinook",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_160,1120-5,"Willapa Chinook",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_161,1121-3,"Wishram",,,race_150,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_162,1123-9,"Chippewa",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_163,1124-7,"Bad River",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_164,1125-4,"Bay Mills Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_165,1126-2,"Bois Forte",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_166,1127-0,"Burt Lake Chippewa",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_167,1128-8,"Fond du Lac",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_168,1129-6,"Grand Portage",,,race_162,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
